cust_no,age_gender,update_dt
00691,20대 M,20180829
00702,40대 M,20180829
00702,40대 M,20180829
00794,40대 M,20180829
01212,40대 M,20180829
01234,20대 F,20180829
01234,20대 F,20180829
02122,30대 M,20180829
02311,40대 F,20180829
02541,30대 M,20180829
02586,50대이상 M,20180829
02802,40대 F,20180829
03156,30대 F,20180829
03156,30대 F,20180829
03505,30대 M,20180829
03629,50대이상 M,20180829
04464,50대이상 M,20180829
04464,50대이상 M,20180829
05079,30대 F,20180829
05082,40대 M,20180829
05363,40대 F,20180829
05495,40대 F,20180829
05496,30대 F,20180829
05528,20대 M,20180829
05576,20대 M,20180829
05662,50대이상 M,20180829
06078,40대 M,20180829
06262,50대이상 M,20180829
06276,50대이상 M,20180829
06457,30대 M,20180829
06475,30대 F,20180829
06475,30대 F,20180829
06559,40대 F,20180829
06998,20대 F,20180829
07063,50대이상 M,20180829
07066,50대이상 M,20180829
07189,40대 M,20180829
07271,40대 M,20180829
07625,30대 F,20180829
07716,40대 M,20180829
07716,40대 M,20180829
08262,30대 F,20180829
09016,40대 M,20180829
09146,30대 F,20180829
09384,30대 M,20180829
09401,50대이상 M,20180829
09883,30대 F,20180829
10065,50대이상 M,20180829
10281,20대 F,20180829
10295,30대 F,20180829
10414,50대이상 M,20180829
10596,20대 M,20180829
10656,20대 M,20180829
10728,30대 F,20180829
11269,30대 F,20180829
11269,30대 F,20180829
11365,20대 F,20180829
11530,30대 F,20180829
11533,40대 M,20180829
11676,50대이상 M,20180829
11797,20대 M,20180829
12126,40대 F,20180829
12688,30대 F,20180829
12688,30대 F,20180829
12821,40대 F,20180829
12850,40대 M,20180829
12850,40대 M,20180829
12859,20대 F,20180829
12974,50대이상 M,20180829
13359,30대 F,20180829
13729,20대 F,20180829
13758,40대 M,20180829
13982,30대 F,20180829
14154,40대 F,20180829
14167,50대이상 M,20180829
14167,50대이상 M,20180829
14249,30대 F,20180829
14328,30대 M,20180829
14448,30대 F,20180829
14552,30대 F,20180829
15020,50대이상 M,20180829
15020,50대이상 M,20180829
15874,50대이상 M,20180829
16163,50대이상 M,20180829
17327,40대 M,20180829
17685,40대 M,20180829
17832,20대 M,20180829
17832,20대 M,20180829
18544,30대 F,20180829
18544,30대 F,20180829
18560,20대 F,20180829
18560,20대 F,20180829
18729,20대 M,20180829
18970,40대 F,20180829
18990,40대 M,20180829
19073,30대 F,20180829
19073,30대 F,20180829
00009,30대 F,20180829
00272,30대 F,20180829
00557,50대이상 M,20180829
00947,40대 F,20180829
01061,20대 F,20180829
01486,30대 F,20180829
01757,50대이상 M,20180829
02080,30대 F,20180829
02145,40대 M,20180829
02145,40대 M,20180829
02390,30대 M,20180829
02479,40대 F,20180829
02652,30대 M,20180829
02877,30대 F,20180829
02992,30대 F,20180829
02992,30대 F,20180829
03351,30대 F,20180829
03713,30대 M,20180829
03748,30대 F,20180829
03812,50대이상 M,20180829
04399,30대 M,20180829
04967,20대 M,20180829
06185,30대 M,20180829
06868,30대 M,20180829
07082,40대 M,20180829
07206,20대 F,20180829
07302,30대 M,20180829
07472,40대 M,20180829
07472,40대 M,20180829
08006,50대이상 M,20180829
08051,40대 M,20180829
08832,30대 M,20180829
08995,20대 F,20180829
08995,20대 F,20180829
09065,30대 F,20180829
09271,30대 F,20180829
09271,30대 F,20180829
09618,30대 M,20180829
09672,30대 M,20180829
10055,50대이상 M,20180829
10055,50대이상 M,20180829
10549,40대 F,20180829
10738,30대 F,20180829
10746,30대 F,20180829
11007,30대 F,20180829
11007,30대 F,20180829
11058,40대 M,20180829
11207,20대 M,20180829
11207,20대 M,20180829
11366,40대 M,20180829
11454,30대 M,20180829
11713,40대 F,20180829
11891,40대 F,20180829
12517,20대 M,20180829
12523,30대 F,20180829
12636,40대 F,20180829
12813,30대 F,20180829
12884,30대 F,20180829
12897,50대이상 M,20180829
12931,30대 F,20180829
13029,40대 F,20180829
13045,30대 M,20180829
13557,30대 F,20180829
13726,20대 F,20180829
14009,30대 F,20180829
14098,30대 F,20180829
14235,30대 F,20180829
14235,30대 F,20180829
14652,50대이상 M,20180829
14670,30대 F,20180829
14712,30대 F,20180829
14963,30대 F,20180829
15382,30대 F,20180829
15433,40대 F,20180829
15514,50대이상 M,20180829
15945,40대 M,20180829
16286,30대 F,20180829
16452,30대 M,20180829
16601,40대 M,20180829
16815,30대 M,20180829
16884,40대 M,20180829
17059,40대 F,20180829
17161,50대이상 M,20180829
17514,50대이상 M,20180829
17594,40대 M,20180829
17793,40대 F,20180829
17959,30대 M,20180829
17993,30대 F,20180829
18093,20대 M,20180829
18348,30대 F,20180829
18348,30대 F,20180829
18386,30대 F,20180829
18386,30대 F,20180829
18406,30대 F,20180829
18530,20대 F,20180829
00168,40대 F,20180829
00329,30대 F,20180829
00631,30대 F,20180829
00631,30대 F,20180829
00671,20대 F,20180829
00671,20대 F,20180829
00832,20대 M,20180829
01332,30대 M,20180829
01497,20대 F,20180829
01582,20대 M,20180829
01622,40대 F,20180829
01760,30대 F,20180829
02320,30대 M,20180829
02534,30대 M,20180829
03763,20대 F,20180829
04110,50대이상 M,20180829
04318,30대 M,20180829
04540,30대 F,20180829
04712,30대 M,20180829
04748,40대 F,20180829
04751,50대이상 M,20180829
04834,40대 M,20180829
04863,30대 F,20180829
04979,30대 F,20180829
05264,40대 M,20180829
05505,30대 M,20180829
05616,50대이상 M,20180829
05882,50대이상 M,20180829
06048,50대이상 M,20180829
06230,50대이상 M,20180829
06374,30대 F,20180829
07089,30대 F,20180829
07148,30대 F,20180829
07297,40대 M,20180829
07440,50대이상 M,20180829
08019,50대이상 M,20180829
08277,40대 M,20180829
08277,40대 M,20180829
08403,30대 F,20180829
08529,50대이상 M,20180829
08737,30대 F,20180829
08745,40대 M,20180829
09139,30대 F,20180829
09232,40대 M,20180829
09349,30대 M,20180829
09485,20대 M,20180829
09678,30대 M,20180829
09678,30대 M,20180829
09681,30대 F,20180829
10395,30대 F,20180829
10597,20대 F,20180829
10600,30대 M,20180829
10637,20대 M,20180829
11080,40대 M,20180829
11562,20대 F,20180829
11658,30대 M,20180829
11667,40대 F,20180829
11709,30대 F,20180829
11965,50대이상 M,20180829
12719,30대 M,20180829
12889,30대 F,20180829
13245,30대 F,20180829
13392,40대 M,20180829
13401,30대 F,20180829
13520,20대 F,20180829
13673,40대 F,20180829
13932,30대 F,20180829
14023,50대이상 M,20180829
14231,30대 F,20180829
14399,50대이상 M,20180829
14459,20대 F,20180829
14546,30대 F,20180829
14732,30대 F,20180829
14732,30대 F,20180829
15006,40대 F,20180829
15192,40대 M,20180829
15192,40대 M,20180829
15218,30대 F,20180829
15278,40대 M,20180829
16222,20대 F,20180829
16293,40대 M,20180829
16413,40대 F,20180829
16824,30대 F,20180829
16824,30대 F,20180829
17599,30대 F,20180829
17900,20대 F,20180829
17901,30대 F,20180829
18088,50대이상 M,20180829
18754,30대 F,20180829
18823,20대 F,20180829
19101,20대 M,20180829
00339,30대 F,20180829
00412,30대 F,20180829
00425,40대 F,20180829
00709,20대 F,20180829
00772,50대이상 M,20180829
00839,20대 F,20180829
01685,30대 F,20180829
02096,40대 M,20180829
02530,50대이상 M,20180829
02638,30대 F,20180829
02871,40대 F,20180829
02905,30대 M,20180829
02920,30대 M,20180829
